alias,canonical_label,notes
ROYAL LAOTIAN GOVERNMENT,LAOTIAN GOVERNMENT,lexical_context_similarity
US AMBASSADOR DOWLING,AMBASSADOR DOWLING,lexical_context_similarity
HIGH AUTHORITY OF THE EUROPEAN COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,lexical_context_similarity
JAPANESE PRIME MINISTER,PRIME MINISTER KISHI,lexical_context_similarity
US AMBASSADOR WAILES,AMBASSADOR WAILES,lexical_context_similarity
AMERICAN MILITARY AID AND ADVISORY GROUP,AMERICAN MILITARY ADVISORY GROUP,lexical_context_similarity
DEMOCRATIC ACTION (AD),DEMOCRATIC ACTION PARTY,lexical_context_similarity
AMERICAN UN DELEGATION,AMERICAN DELEGATION,lexical_context_similarity
COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,lexical_context_similarity
DAG HAMMARSKJOLD,HAMMARSKJOLD,lexical_context_similarity
KUCHERENKO,V. A. KUCHERENKO,lexical_context_similarity
COL. BARLIAN,LT. COL. BARLIAN,lexical_context_similarity
MENDEZ MONTENEGRO,MARIO MENDEZ MONTENEGRO,lexical_context_similarity
COMMITTEE FOR THE DEFENSE OF THE NATIONAL INTERESTS (CDNI),COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS (CDNI),lexical_context_similarity
MINISTER OF DEFENSE PLEVEN,DEFENSE MINISTER PLEVEN,lexical_context_similarity
JAPANESE PRIME MINISTER KISHI,PRIME MINISTER KISHI,lexical_context_similarity
CO-FOREIGN MINISTER LUNS,DUTCH CO-FOREIGN MINISTER LUNS,lexical_context_similarity
PRIME MINISTER ALI AMINI,PRIME MINISTER AMINI,lexical_context_similarity
V. A. MALYSHEV,MALYSHEV,lexical_context_similarity
NATIONALIST AIR FORCE,CHINESE NATIONALIST AIR FORCE,lexical_context_similarity
COL. SUMUAL,LT. COL. SUMUAL,lexical_context_similarity
INDIA CONGRESS PARTY,CONGRESS PARTY,lexical_context_similarity
MINISTER HEATH,US MINISTER HEATH,lexical_context_similarity
US AMBASSADOR LODGE,AMBASSADOR LODGE,lexical_context_similarity
G. M. PUSHKIN,PUSHKIN,lexical_context_similarity
AFGHAN PRIME MINISTER,PRIME MINISTER DAUD,lexical_context_similarity
MOHAMED BEN ARAFA,SULTAN MOHAMED BEN ARAFA,lexical_context_similarity
CANADIAN UN DELEGATION,CANADIAN DELEGATION,lexical_context_similarity
FRENCH MINISTER FOR ASSOCIATED STATES LETOURNEAU,MINISTER OF ASSOCIATED STATES LETOURNEAU,lexical_context_similarity
KHALID AZM,KHALID AL-AZM,lexical_context_similarity
AMERICAN ATTACHE,US MILITARY ATTACHE,lexical_context_similarity
FOREIGN MINISTER BRENTANO,FOREIGN MINISTER VON BRENTANO,lexical_context_similarity
FRENCH UNION FORCES,FRENCH FORCES,lexical_context_similarity
US DEPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE,lexical_context_similarity
AFGHAN PRIME MINISTER DAUD,PRIME MINISTER DAUD,lexical_context_similarity
CZECHOSLOVAK COMMUNIST,CZECHOSLOVAK COMMUNIST PARTY,lexical_context_similarity
NATIONALIST-HELD TACHEN ISLANDS,TACHEN ISLANDS,lexical_context_similarity
SOVIET NORTHERN FLEET,NORTHERN FLEET,lexical_context_similarity
D. T. SHEPILOV,SHEPILOV,lexical_context_similarity
MORRISON-KNUDSEN AFGHANISTAN COMPANY,MORRISON-KNUDSEN COMPANY,lexical_context_similarity
EUROPEAN COMMON MARKET,COMMON MARKET,lexical_context_similarity
KHRUNICHEV,M. V. KHRUNICHEV,lexical_context_similarity
US STATE DEPARTMENT,US DEPARTMENT OF STATE,lexical_context_similarity
FRENCH RADICAL SOCIALIST PARTY,RADICAL SOCIALISTS,lexical_context_similarity
FOREIGN MINISTRY,FRENCH FOREIGN MINISTRY,lexical_context_similarity
NEO ISTIQLAL PARTY,ISTIQLAL PARTY,lexical_context_similarity
NEO LAO HAK ZAT PARTY,NEO LAO HAK SAT,lexical_context_similarity
POLISH WORKERS PARTY,POLISH UNITED WORKERS PARTY,lexical_context_similarity
MAJOR GENERAL CARLOS TORANZO MONTER,TORANZO MONTERO,lexical_context_similarity
BURMESE COMMUNIST,BURMA COMMUNIST PARTY,lexical_context_similarity
GENERAL TIMUR BAKHTIAR,GENERAL BAKHTIAR,lexical_context_similarity
AIR FORCE,US AIR FORCE,lexical_context_similarity
ARAB REPUBLIC,UNITED ARAB REPUBLIC,lexical_context_similarity
WAFD,WAFD PARTY,lexical_context_similarity
DEFENSE MINISTRY,MINISTRY OF DEFENSE,lexical_context_similarity
SHAH MAHMUD KHAN,SHAH MAHMUD,lexical_context_similarity
ISTIQLAL,ISTIQLAL PARTY,lexical_context_similarity
ALGERIAN REBEL REVOLUTIONARY COUNCIL,ALGERIAN REVOLUTIONARY COUNCIL,lexical_context_similarity
GREEK FIELD MARSHAL PAPAGOS,PAPAGOS,lexical_context_similarity
11TH INTER-AMERICAN CONFERENCE,INTER-AMERICAN CONFERENCE,lexical_context_similarity
GUANTANAMO BAY,GUANTANAMO,lexical_context_similarity
ALL-GERMAN AFFAIRS MINISTER LEMMER,MINISTER FOR ALL-GERMAN AFFAIRS LEMMER,lexical_context_similarity
BURMESE WORKERS AND PEASANTS PARTY,BURMA WORKERS AND PEASANTS PARTY,lexical_context_similarity
NEW SYRIAN GOVERNMENT,SYRIAN GOVERNMENT,lexical_context_similarity
CONGO REPUBLIC,REPUBLIC OF CONGO,lexical_context_similarity
UNITED STATES EMBASSY IN ROME,UNITED STATES EMBASSY,lexical_context_similarity
FRENCH PRESIDENT DE GAULLE,DE GAULLE,lexical_context_similarity
AMBASSADOR STROM,US AMBASSADOR STROM,lexical_context_similarity
VENEZUELAN PRESIDENT BETANCOURT,BETANCOURT,lexical_context_similarity
CUBAN CONFEDERATION OF WORKERS (CTC),CUBAN WORKERS CONFEDERATION,lexical_context_similarity
CHINESE NATIONALIST FORCES,CHINESE NATIONALIST,lexical_context_similarity
ERNESTO CHE GUEVARA,ERNESTO GUEVARA,lexical_context_similarity
CHRISTIAN DEMOCRATIC (CD) GOVERNMENT,CHRISTIAN DEMOCRATIC GOVERNMENT,lexical_context_similarity
