source_global,target_global,rel,weight,support_count,doc_ids,weight_raw_meta
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:42,META_LINK,1.463857665062989,22,3163360_CIA-RDP79T00975A004700240001-3,3.322602558959676
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:43,META_LINK,1.3856956379075218,17,3153734_CIA-RDP79T00975A003300430001-7,2.9976058239464334
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:44,META_LINK,1.5588615096869183,17,3179159_CIA-RDP79T00975A002800090001-1,3.7534064561758362
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:45,META_LINK,1.6233951513721492,24,3172683_CIA-RDP79T00975A005700190001-8,4.070275479692978
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:46,META_LINK,2.0107047489245296,25,2008411_CIA-RDP79T00975A001400270001-6;3003759_CIA-RDP79T00975A001300770001-2;3003782_CIA-RDP79T00975A001400250001-8;3006383_CIA-RDP79T00975A001500520001-7,6.468578966035433
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:48,META_LINK,1.430053028203432,22,3029875_CIA-RDP79T00975A004600190001-0,3.178920786709411
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:5,META_LINK,7.759999382219719,5279,2000175_CIA-RDP79T00975A005500140001-5;2000177_CIA-RDP79T00975A005500170001-2;2000193_CIA-RDP79T00975A005500350001-2;2001979_CIA-RDP79T00975A005600350001-1;2001986_CIA-RDP79T00975A005600420001-3;2001989_CIA-RDP79T00975A005600450001-0;2001996_CIA-RDP79T00975A000300160001-0;2001998_CIA-RDP79T00975A000300300001-4;2003049_CIA-RDP79T00975A000100580001-6;2003052_CIA-RDP79T00975A000200080001-0;2003056_CIA-RDP79T00975A000200130001-4;2003059_CIA-RDP79T00975A000200180001-9;2003060_CIA-RDP79T00975A000200200001-6;2003063_CIA-RDP79T00975A000200290001-7;2003064_CIA-RDP79T00975A000200300001-5;2003067_CIA-RDP79T00975A000200400001-4;2003068_CIA-RDP79T00975A000200450001-9;2003082_CIA-RDP79T00975A000300120001-4;2008380_CIA-RDP79T00975A000400150001-0;2008382_CIA-RDP79T00975A000400230001-1;2008387_CIA-RDP79T00975A000400340001-9;2008395_CIA-RDP79T00975A000500060001-9;2008402_CIA-RDP79T00975A000500150001-9;2008403_CIA-RDP79T00975A000500160001-8;2008404_CIA-RDP79T00975A000500170001-7;2008406_CIA-RDP79T00975A000500190001-5;2008409_CIA-RDP79T00975A000500220001-1;2008410_CIA-RDP79T00975A001000080001-1;2014428_CIA-RDP79T00975A000100480001-7;2014438_CIA-RDP79T00975A000300410001-2,2343.903156640514
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:50,META_LINK,1.8977595627153112,23,2050145_CIA-RDP79T00975A001200200001-5;2899765_CIA-RDP79T00975A001100300001-5,5.670931882686274
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:53,META_LINK,1.8548800146394313,26,3178397_CIA-RDP79T00975A003400060001-7,5.390931386408813
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:54,META_LINK,1.4442687424504164,12,3161871_CIA-RDP79T00975A002800070001-3,3.238751390279306
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:6,META_LINK,7.059865643328191,3022,2000168_CIA-RDP79T00975A005500040001-6;2000171_CIA-RDP79T00975A005500080001-2;2000183_CIA-RDP79T00975A005500230001-5;2000184_CIA-RDP79T00975A005500240001-4;2000186_CIA-RDP79T00975A005500280001-0;2000187_CIA-RDP79T00975A005500290001-9;2000189_CIA-RDP79T00975A005500310001-6;2000192_CIA-RDP79T00975A005500340001-3;2000193_CIA-RDP79T00975A005500350001-2;2000196_CIA-RDP79T00975A005500380001-9;2000197_CIA-RDP79T00975A005500390001-8;2001967_CIA-RDP79T00975A005600090001-0;2001968_CIA-RDP79T00975A005600110001-7;2001970_CIA-RDP79T00975A005600170001-1;2001971_CIA-RDP79T00975A005600210001-6;2001972_CIA-RDP79T00975A005600240001-3;2001974_CIA-RDP79T00975A005600280001-9;2001975_CIA-RDP79T00975A005600290001-8;2001978_CIA-RDP79T00975A005600330001-3;2001979_CIA-RDP79T00975A005600350001-1;2001980_CIA-RDP79T00975A005600360001-0;2001981_CIA-RDP79T00975A005600370001-9;2001982_CIA-RDP79T00975A005600380001-8;2001983_CIA-RDP79T00975A005600390001-7;2001984_CIA-RDP79T00975A005600400001-5;2001986_CIA-RDP79T00975A005600420001-3;2001988_CIA-RDP79T00975A005600440001-1;2001989_CIA-RDP79T00975A005600450001-0;2001990_CIA-RDP79T00975A005600460001-9;2001991_CIA-RDP79T00975A005600480001-7,1163.2887253054735
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:60,META_LINK,1.7341694195136148,18,3029886_CIA-RDP79T00975A004700430001-2,4.664221257845602
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:62,META_LINK,1.3207025702632158,16,2977765_CIA-RDP79T00975A004900240001-1,2.7460523179053222
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:64,META_LINK,1.5767397843727506,24,3000849_CIA-RDP79T00975A001700290001-1;3150415_CIA-RDP79T00975A003000350001-9,3.8391533820922628
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:65,META_LINK,1.3191600180160006,16,2058867_CIA-RDP79T00975A001500500001-9;3006392_CIA-RDP79T00975A001500610001-7,2.740278290998168
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:66,META_LINK,2.173135817319757,35,2020912_CIA-RDP79T00975A001500180001-5;3017439_CIA-RDP79T00975A001900100001-9,7.7857915262109305
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:67,META_LINK,1.4719078032247055,15,3163332_CIA-RDP79T00975A004500030001-8,3.3575405459098304
LEVEL1_COMMUNITY:0,LEVEL1_COMMUNITY:69,META_LINK,1.4442687424504164,12,2051068_CIA-RDP79T00975A000700500001-8,3.238751390279306
