,3175206,"February 28, 1951",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587356%5D.pdf,2/28/1951,CIA-RDP79T00975A000100190001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000100190001-9,/meta-53200,CURRENT INTELLIGENCE BULLETIN,1951,Y
Current/Central Intelligence Bulletin Collection,2051350,"November 29, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653052%5D.pdf,11/29/1952,CIA-RDP79T00975A000900410001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900410001-6,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693992,"November 30, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652976%5D.pdf,11/30/1952,CIA-RDP79T00975A000900420001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900420001-5,/meta-50600,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2018015,"December 2, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653028%5D.pdf,12/2/1952,CIA-RDP79T00975A000900430001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900430001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2051351,"December 3, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653049%5D.pdf,12/3/1952,CIA-RDP79T00975A000900440001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900440001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693993,"December 4, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653085%5D.pdf,12/4/1952,CIA-RDP79T00975A000900450001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900450001-2,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2051352,"December 5, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653055%5D.pdf,12/5/1952,CIA-RDP79T00975A000900460001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900460001-1,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693994,"December 6, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652995%5D.pdf,12/6/1952,CIA-RDP79T00975A000900470001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900470001-0,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2020571,"December 7, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653090%5D.pdf,12/7/1952,CIA-RDP79T00975A000900480001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900480001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2018016,"December 9, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653014%5D.pdf,12/9/1952,CIA-RDP79T00975A000900490001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900490001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2064608,"December 10, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653103%5D.pdf,12/10/1952,CIA-RDP79T00975A000900500001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900500001-6,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2064609,"December 11, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653000%5D.pdf,12/11/1952,CIA-RDP79T00975A000900510001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900510001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2064610,"December 12, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653070%5D.pdf,12/12/1952,CIA-RDP79T00975A000900520001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900520001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2064611,"December 13, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653075%5D.pdf,12/13/1952,CIA-RDP79T00975A000900530001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900530001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2064612,"December 14, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653051%5D.pdf,12/14/1952,CIA-RDP79T00975A000900540001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900540001-2,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2018017,"December 16, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653025%5D.pdf,12/16/1952,CIA-RDP79T00975A000900550001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900550001-1,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2050105,"December 17, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653126%5D.pdf,12/17/1952,CIA-RDP79T00975A000900560001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900560001-0,/meta-51000,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2018018,"December 18, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653072%5D.pdf,12/18/1952,CIA-RDP79T00975A000900570001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900570001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2018019,"December 19, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653087%5D.pdf,12/19/1952,CIA-RDP79T00975A000900580001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900580001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2018020,"December 20, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653123%5D.pdf,12/20/1952,CIA-RDP79T00975A000900590001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900590001-7,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693995,"December 21, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653077%5D.pdf,12/21/1952,,,,,1952,
Current/Central Intelligence Bulletin Collection,2050106,"December 23, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653127%5D.pdf,12/23/1952,CIA-RDP79T00975A000900610001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900610001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693996,"December 24, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653011%5D.pdf,12/24/1952,CIA-RDP79T00975A000900620001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900620001-3,/meta-12800,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2020572,"December 25, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653092%5D.pdf,12/25/1952,CIA-RDP79T00975A000900630001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900630001-2,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693997,"December 27, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652973%5D.pdf,12/27/1952,CIA-RDP79T00975A000900640001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900640001-1,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2020573,"December 28, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653125%5D.pdf,12/28/1952,CIA-RDP79T00975A000900650001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900650001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2050107,"December 30, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653016%5D.pdf,12/30/1952,CIA-RDP79T00975A000900660001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900660001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2693998,"December 31, 1952",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653074%5D.pdf,12/31/1952,CIA-RDP79T00975A000900670001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A000900670001-8,/meta-12800,CENTRAL INTELLIGENCE BULLETIN,1952,
Current/Central Intelligence Bulletin Collection,2050108,"January 1, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671686%5D.pdf,1/1/1953,CIA-RDP79T00975A001000010001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000010001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050109,"January 3, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671656%5D.pdf,1/3/1953,CIA-RDP79T00975A001000020001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000020001-7,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050110,"January 4, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671725%5D.pdf,1/4/1953,CIA-RDP79T00975A001000030001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000030001-6,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050111,"January 6, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671775%5D.pdf,1/6/1953,CIA-RDP79T00975A001000040001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000040001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050112,"January 7, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671660%5D.pdf,1/7/1953,CIA-RDP79T00975A001000050001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000050001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064886,"January 8, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671665%5D.pdf,1/8/1953,CIA-RDP79T00975A001000060001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000060001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2900511,"January 9, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671764%5D.pdf,1/9/1953,CIA-RDP79T00975A001000070001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000070001-2,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2008410,"January 10, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671744%5D.pdf,1/10/1953,CIA-RDP79T00975A001000080001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000080001-1,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064887,"January 11, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671644%5D.pdf,1/11/1953,CIA-RDP79T00975A001000090001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000090001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064888,"January 13, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671779%5D.pdf,1/13/1953,CIA-RDP79T00975A001000100001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000100001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064889,"January 14, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671776%5D.pdf,1/14/1953,CIA-RDP79T00975A001000110001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000110001-7,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064890,"January 15, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671755%5D.pdf,1/15/1953,CIA-RDP79T00975A001000120001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000120001-6,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064891,"January 16, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671781%5D.pdf,1/16/1953,CIA-RDP79T00975A001000130001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000130001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064892,"January 17, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671732%5D.pdf,1/17/1953,CIA-RDP79T00975A001000140001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000140001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2900512,"January 18, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671708%5D.pdf,1/18/1953,CIA-RDP79T00975A001000150001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000150001-3,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064893,"January 20, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671697%5D.pdf,1/20/1953,CIA-RDP79T00975A001000160001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000160001-2,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2900513,"January 22, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671705%5D.pdf,1/22/1953,CIA-RDP79T00975A001000170001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000170001-1,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064894,"January 23, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671702%5D.pdf,1/23/1953,CIA-RDP79T00975A001000180001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000180001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064895,"January 24, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671668%5D.pdf,1/24/1953,CIA-RDP79T00975A001000190001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000190001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2064896,"January 25, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671731%5D.pdf,1/25/1953,CIA-RDP79T00975A001000200001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000200001-7,/meta-53800,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2900514,"January 27, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671785%5D.pdf,1/27/1953,CIA-RDP79T00975A001000210001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000210001-6,/meta-53000,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2026912,"January 28, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671657%5D.pdf,1/28/1953,CIA-RDP79T00975A001000220001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000220001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2900515,"January 29, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671710%5D.pdf,1/29/1953,CIA-RDP79T00975A001000230001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000230001-4,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2026913,"January 30, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671681%5D.pdf,1/30/1953,CIA-RDP79T00975A001000240001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000240001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2026914,"January 31, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671654%5D.pdf,1/31/1953,CIA-RDP79T00975A001000250001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000250001-2,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050113,"February 1, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671748%5D.pdf,2/1/1953,CIA-RDP79T00975A001000260001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000260001-1,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2026915,"February 3, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671678%5D.pdf,2/3/1953,CIA-RDP79T00975A001000270001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000270001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2026916,"February 4, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671773%5D.pdf,2/4/1953,CIA-RDP79T00975A001000280001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000280001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2026917,"February 5, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671711%5D.pdf,2/5/1953,CIA-RDP79T00975A001000290001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000290001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2020574,"February 6, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671767%5D.pdf,2/6/1953,CIA-RDP79T00975A001000300001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000300001-6,/meta-52800,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2020575,"February 7, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671723%5D.pdf,2/7/1953,CIA-RDP79T00975A001000310001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000310001-5,/meta-52800,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050114,"February 8, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671698%5D.pdf,2/8/1953,CIA-RDP79T00975A001000320001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000320001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050115,"February 10, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671639%5D.pdf,2/10/1953,CIA-RDP79T00975A001000330001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000330001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2020576,"February 11, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671741%5D.pdf,2/11/1953,CIA-RDP79T00975A001000340001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000340001-2,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050116,"February 12, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671682%5D.pdf,2/12/1953,CIA-RDP79T00975A001000350001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000350001-1,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050117,"February 13, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671638%5D.pdf,2/13/1953,CIA-RDP79T00975A001000360001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000360001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050118,"February 14, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671658%5D.pdf,2/14/1953,CIA-RDP79T00975A001000370001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000370001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050119,"February 15, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671688%5D.pdf,2/15/1953,CIA-RDP79T00975A001000380001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000380001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2020577,"February 17, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15672121%5D.pdf,2/17/1953,CIA-RDP79T00975A001000390001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000390001-7,/meta-52800,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050120,"February 18, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671772%5D.pdf,2/18/1953,CIA-RDP79T00975A001000400001-5,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000400001-5,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050121,"February 19, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671643%5D.pdf,2/19/1953,CIA-RDP79T00975A001000410001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000410001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050122,"February 20, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671730%5D.pdf,2/20/1953,CIA-RDP79T00975A001000420001-3,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000420001-3,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050123,"February 21, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671777%5D.pdf,2/21/1953,CIA-RDP79T00975A001000430001-2,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000430001-2,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050124,"February 22, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671663%5D.pdf,2/22/1953,CIA-RDP79T00975A001000440001-1,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000440001-1,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050125,"February 25, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671718%5D.pdf,2/25/1953,CIA-RDP79T00975A001000450001-0,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000450001-0,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2020578,"February 26, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671679%5D.pdf,2/26/1953,CIA-RDP79T00975A001000460001-9,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000460001-9,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050126,"February 27, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671661%5D.pdf,2/27/1953,CIA-RDP79T00975A001000470001-8,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000470001-8,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050127,"February 28, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671685%5D.pdf,2/28/1953,CIA-RDP79T00975A001000480001-7,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000480001-7,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2900527,"March 1, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671669%5D.pdf,3/1/1953,CIA-RDP79T00975A001000490001-6,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000490001-6,/meta-51600,CENTRAL INTELLIGENCE BULLETIN,1953,
Current/Central Intelligence Bulletin Collection,2050128,"March 3, 1953",https://www.cia.gov/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671715%5D.pdf,3/3/1953,CIA-RDP79T00975A001000500001-4,https://www.cia.gov/readingroom/document/CIA-RDP79T00975A001000500001-4,/meta-51400,CENTRAL INTELLIGENCE BULLETIN,1953,
