original_normalized_label,canonical_label,canonical_key,method,confidence
BRITISH DELEGATE,BRITISH DELEGATE (BULLETIN INTELLIGENCE PROPOSAL),CANONICAL_ENTITY:BRITISH_DELEGATE_BULLETIN_INTELLIGENCE_PROPOSAL,a3_single_cluster_self,1.0
BRITISH EMBASSY IN CAIRO,BRITISH EMBASSY IN CAIRO,CANONICAL_ENTITY:BRITISH_EMBASSY_IN_CAIRO,a5_consolidated,0.91
BRITISH HIGH COMMISSIONER,BRITISH HIGH COMMISSIONER (BULLETIN 1952 INTELLIGENCE),CANONICAL_ENTITY:BRITISH_HIGH_COMMISSIONER_BULLETIN_1952_INTELLIGENCE,a3_single_cluster_self,1.0
BULGARIAN GOVERNMENT,BULGARIAN GOVERNMENT,CANONICAL_ENTITY:BULGARIAN_GOVERNMENT,multi_sense_label,1.0
BURMA WORKERS AND PEASANTS PARTY,BURMA WORKERS AND PEASANTS PARTY,CANONICAL_ENTITY:BURMA_WORKERS_AND_PEASANTS_PARTY,a5_consolidated,0.91
BURMESE FOREIGN OFFICE,BURMESE FOREIGN OFFICE,CANONICAL_ENTITY:BURMESE_FOREIGN_OFFICE,multi_sense_label,1.0
BUTLER,BUTLER (BULLETIN IS INTELLIGENCE),CANONICAL_ENTITY:BUTLER_BULLETIN_IS_INTELLIGENCE,a3_single_cluster_self,1.0
C 47,C 47,CANONICAL_ENTITY:C_47,multi_sense_label,1.0
CAFÉ FILHO,CAFÉ FILHO (KUBITSCHEK WHO 11),CANONICAL_ENTITY:CAF_FILHO_KUBITSCHEK_WHO_11,a3_single_cluster_self,1.0
CAO DAI SECT,CAO DAI SECT (DIEM BULLETIN 1954),CANONICAL_ENTITY:CAO_DAI_SECT_DIEM_BULLETIN_1954,a3_single_cluster_self,1.0
CEMA,CEMA,CANONICAL_ENTITY:CEMA,multi_sense_label,1.0
CEMAL GURSEL,CEMAL GURSEL,CANONICAL_ENTITY:CEMAL_GURSEL,a5_consolidated,0.91
CENTRAL BANK,CENTRAL BANK,CANONICAL_ENTITY:CENTRAL_BANK,multi_sense_label,1.0
CHAPIN,CHAPIN,CANONICAL_ENTITY:CHAPIN,a5_consolidated,0.91
CHAUDHRI MOHAMMAD ALI,CHAUDHRI MOHAMMAD ALI (PAKISTAN BULLETIN WHO),CANONICAL_ENTITY:CHAUDHRI_MOHAMMAD_ALI_PAKISTAN_BULLETIN_WHO,a3_single_cluster_self,1.0
CHENIK,CHENIK (1952 BULLETIN NEGOTIATIONS),CANONICAL_ENTITY:CHENIK_1952_BULLETIN_NEGOTIATIONS,a3_single_cluster_self,1.0
CHERVENKOV,CHERVENKOV,CANONICAL_ENTITY:CHERVENKOV,a5_consolidated,0.91
CHINCOM,CHINCOM,CANONICAL_ENTITY:CHINCOM,multi_sense_label,1.0
CHO PONG AM,CHO PONG AM (RHEE BULLETIN PUNG),CANONICAL_ENTITY:CHO_PONG_AM_RHEE_BULLETIN_PUNG,a3_single_cluster_self,1.0
CIUDAD TRUJILLO,CIUDAD TRUJILLO (DOMINICAN BULLETIN IS),CANONICAL_ENTITY:CIUDAD_TRUJILLO_DOMINICAN_BULLETIN_IS,a3_single_cluster_self,1.0
CIVIL GUARD,CIVIL GUARD,CANONICAL_ENTITY:CIVIL_GUARD,multi_sense_label,1.0
COLONEL KAWILARANG,COLONEL KAWILARANG,CANONICAL_ENTITY:COLONEL_KAWILARANG,a5_consolidated,0.91
COMPAGNIE FRANCAISE DES PETROLES,COMPAGNIE FRANCAISE DES PETROLES (SUICHI LIUCHOU JERSEY),CANONICAL_ENTITY:COMPAGNIE_FRANCAISE_DES_PETROLES_SUICHI_LIUCHOU_JERSEY,a5_consolidated,0.91
CONAKAT,CONAKAT,CANONICAL_ENTITY:CONAKAT,multi_sense_label,1.0
CONGO GOVERNMENT,CONGO GOVERNMENT,CANONICAL_ENTITY:CONGO_GOVERNMENT,multi_sense_label,1.0
CUBAN EXILES,CUBAN EXILES,CANONICAL_ENTITY:CUBAN_EXILES,multi_sense_label,1.0
CUBAN MILITARY,CUBAN MILITARY,CANONICAL_ENTITY:CUBAN_MILITARY,a5_consolidated,0.91
