node_key,community_id,community
CANONICAL_ENTITY:AFRO_ASIAN_CONFERENCE__0B18602A25,509,509
CANONICAL_ENTITY:AFRO_ASIAN_COUNTRIES__08EAF2583F,131,131
CANONICAL_ENTITY:AFRO_ASIAN_ECONOMIC_CONFERENCE__86E8398418,510,510
CANONICAL_ENTITY:AFRO_ASIAN_PEOPLES_SOLIDARITY_CONFERENCE__6760269DE8,1519,1519
CANONICAL_ENTITY:AFRO_ASIAN_SOLIDARITY_COMMITTEE__F44448A6EF,1296,1296
CANONICAL_ENTITY:AFRO_ASIAN_SOLIDARITY_CONFERENCE__0955F1B176,1802,1802
CANONICAL_ENTITY:AFRO_ASIAN_SOLIDARITY_CONFERENCE__D05CEF0300,1297,1297
CANONICAL_ENTITY:AFRO_ASIAN_SOLIDARITY_COUNCIL__22A01727F5,1436,1436
CANONICAL_ENTITY:AFRO_ASIAN_SOLIDARITY_MOVEMENT__120BD0FC96,511,511
CANONICAL_ENTITY:AFRO_ASIAN_SOLIDARITY_ORGANIZATION__B57CF83314,82,82
CANONICAL_ENTITY:AFRO_ASIAN_STATES__AB15B7562B,1298,1298
CANONICAL_ENTITY:AFRO_SHIRAZI_PARTY_ASP__53FFC459FE,2303,2303
CANONICAL_ENTITY:AFRO_SHIRAZI_PARTY__B97B29D726,1625,1625
CANONICAL_ENTITY:AFSHAN__EF00FEFE0A,919,919
CANONICAL_ENTITY:AF_OF_L__5CCDE01D73,180,180
CANONICAL_ENTITY:AGADIR_PROVINCE__01B7FB2BB6,1232,1232
CANONICAL_ENTITY:AGENCE_FRANCE_PRESSE__9ECF05AFEA,773,773
CANONICAL_ENTITY:AGFA_FILM_FACTORY__7AECA51BAA,237,237
CANONICAL_ENTITY:AGRAMONTE__29F9FDD4A5,1009,1009
CANONICAL_ENTITY:AGRARIANS__0870D5668B,2176,2176
CANONICAL_ENTITY:AGRARIAN_GOVERNMENT__C1B0D83847,1482,1482
CANONICAL_ENTITY:AGRARIAN_INSTITUTE__14E88DB7B5,1299,1299
CANONICAL_ENTITY:AGRARIAN_LABOR_PARTY__3BB0A08216,1520,1520
CANONICAL_ENTITY:AGRARIAN_PARTY__9BC571D4F2,83,83
CANONICAL_ENTITY:AGRARIAN_PARTY__A547F38BC2,461,461
CANONICAL_ENTITY:AGRARIAN_PARTY__D2CE459255,1049,1049
CANONICAL_ENTITY:AGRARIAN_SOCIAL_DEMOCRATIC_CABINET__1C042FC54C,2177,2177
CANONICAL_ENTITY:AGRARIAN_SOCIAL_DEMOCRATIC_COALITION__B23FF0CAE5,1960,1960
CANONICAL_ENTITY:AGRICULTURAL_BANK_AND_INVESTMENT_BANK__ED0D4B903D,569,569
CANONICAL_ENTITY:AGUDAT__9BCECF781F,2,2
CANONICAL_ENTITY:AGUSTIN_MUNOZ_GRANDES__3DFF82F128,462,462
CANONICAL_ENTITY:AHADAN__3B1D67633A,238,238
CANONICAL_ENTITY:AHIDJO_GOVERNMENT__D66ADF22EE,1263,1263
CANONICAL_ENTITY:AHIDJO_REGIME__D413F4A2EE,2178,2178
CANONICAL_ENTITY:AHIDJO__3F2DAFB639,1269,1269
CANONICAL_ENTITY:AHMADIYA__6521C3813A,920,920
CANONICAL_ENTITY:AHMAD_HUSAIN__67200B4D7F,84,84
CANONICAL_ENTITY:AHMAD_HUSAYN__39F6B26DC5,1593,1593
CANONICAL_ENTITY:AHMAD_HUSSEIN__F78E393117,1991,1991
CANONICAL_ENTITY:AHMAD_MURTADA_AL_MARAGHI_BEY__FA056173B6,2067,2067
CANONICAL_ENTITY:AHMAD_QAVAM__C3D7686346,227,227
CANONICAL_ENTITY:AHMAD_SHUQAYRI__FBF85F7801,822,822
